Publication No.,CQ No.,CQ,CQ LLM Answer,Ontology Concept,KG Individual,KG Individual Label
8,1,What data formats are used in the deep learning pipeline?,The data formats used in the deep learning pipeline are images and bounding boxes. The images are the input to the model and the bounding boxes are the annotations used for training and evaluating the model.,DataFormat,https://w3id.org/dlprovenance#DataFormat_1,images
8,1,What data formats are used in the deep learning pipeline?,The data formats used in the deep learning pipeline are images and bounding boxes. The images are the input to the model and the bounding boxes are the annotations used for training and evaluating the model.,DataFormat,https://w3id.org/dlprovenance#DataFormat_2,bounding boxes
8,2,What are the sources of input data for the deep learning pipeline?,The sources of input data for the deep learning pipeline are the herbarium scans.,Source,https://w3id.org/dlprovenance#Source_1,herbarium scans
8,3,How was raw data collected in terms of methods and tools?,"cted by manually localizing and labeling plant organs from herbarium specimens. The process of localizing and labeling encountered difficulties such as distinguishing between buds, flowers, and fruits, separating different plant organs in some taxa, and differentiating between roots and stolons or other stem structures.",Method,https://w3id.org/dlprovenance#Method_1,manual localization and labeling
8,3,How was raw data collected in terms of methods and tools?,"cted by manually localizing and labeling plant organs from herbarium specimens. The process of localizing and labeling encountered difficulties such as distinguishing between buds, flowers, and fruits, separating different plant organs in some taxa, and differentiating between roots and stolons or other stem structures.",Method,https://w3id.org/dlprovenance#Method_2,herbarium scans
8,3,How was raw data collected in terms of methods and tools?,"cted by manually localizing and labeling plant organs from herbarium specimens. The process of localizing and labeling encountered difficulties such as distinguishing between buds, flowers, and fruits, separating different plant organs in some taxa, and differentiating between roots and stolons or other stem structures.",Tool,https://w3id.org/dlprovenance#Tool_1,LabelImg
8,4,"Is the source code openly accessible, and if so, what is the repository link?",The source code is openly accessible in the GitHub repository.,RepositoryLink,https://w3id.org/dlprovenance#RepositoryLink_1,GitHub repository
8,5,What preprocessing steps are involved before training the deep learning model?,"The herbarium scans were rescaled to 1200 by 800 pixels, and manually annotated for six different types of organs using LabelImg. The annotated images were then divided into a validated subset of 155 images for testing and 498 images for training.",PreprocessingStep,https://w3id.org/dlprovenance#PreprocessingStep_1,rescaling to 1200 by 800 pixels
8,7,Does the paper discuss data bias or ethical implications?,The paper does not discuss data bias or ethical implications.,EthicalImplication,https://w3id.org/dlprovenance#EthicalImplication_1,"bounding boxes for six types of plant organs: leaves, flowers, fruits, seeds, stems, and roots"
8,8,What is the architecture of the deep learning model in the pipeline?,"The deep learning model in the pipeline is a Convolutional Neural Network (CNN) architecture called Faster R-CNN, which consists of three modules: a deep CNN image feature extraction network based on the ResNet-50 architecture, a Region Proposal Network (RPN) used for detection of Regions of Interests (RoIs), and Fast R-CNN, which computes a classification score along with class-specific bounding box regression for each of these regions.",Architecture,https://w3id.org/dlprovenance#Architecture_1,Faster R-CNN
8,8,What is the architecture of the deep learning model in the pipeline?,"The deep learning model in the pipeline is a Convolutional Neural Network (CNN) architecture called Faster R-CNN, which consists of three modules: a deep CNN image feature extraction network based on the ResNet-50 architecture, a Region Proposal Network (RPN) used for detection of Regions of Interests (RoIs), and Fast R-CNN, which computes a classification score along with class-specific bounding box regression for each of these regions.",Model,https://w3id.org/dlprovenance#Model_1,Faster R-CNN
