Publication No.,CQ No.,CQ,CQ LLM Answer,Ontology Concept,KG Individual,KG Individual Label
5,1,What data formats are used in the deep learning pipeline?,"The data formats used in the deep learning pipeline include multitemporal remote sensing data, such as MODIS-derived NDVI and LAI images collected in 2009, and plant species richness data from South Korea. These data are co-registered, resampled, and used to estimate potential plant species richness patterns for North Korea using a state-of-the-art DL approach.",DataFormat,https://w3id.org/dlprovenance#DataFormat_1,multitemporal remote sensing data
5,1,What data formats are used in the deep learning pipeline?,"The data formats used in the deep learning pipeline include multitemporal remote sensing data, such as MODIS-derived NDVI and LAI images collected in 2009, and plant species richness data from South Korea. These data are co-registered, resampled, and used to estimate potential plant species richness patterns for North Korea using a state-of-the-art DL approach.",DataFormat,https://w3id.org/dlprovenance#DataFormat_2,plant species richness data from South Korea
5,2,What are the sources of input data for the deep learning pipeline?,"The sources of input data for the deep learning pipeline are MODIS products, including the normalized difference vegetation index (NDVI) and leaf area index (LAI).",Source,https://w3id.org/dlprovenance#Source_1,"MODIS products, including the normalized difference vegetation index (NDVI) and leaf area index (LAI)"
5,2,What are the sources of input data for the deep learning pipeline?,"The sources of input data for the deep learning pipeline are MODIS products, including the normalized difference vegetation index (NDVI) and leaf area index (LAI).",InputData,https://w3id.org/dlprovenance#InputData_1,multitemporal Landsat 8 images
5,2,What are the sources of input data for the deep learning pipeline?,"The sources of input data for the deep learning pipeline are MODIS products, including the normalized difference vegetation index (NDVI) and leaf area index (LAI).",InputData,https://w3id.org/dlprovenance#InputData_2,"plant species occurrence records from the Korea National Arboretum, the National Institute of Biological Resources, and the Korea Forest Service"
5,3,How was raw data collected in terms of methods and tools?,"The raw data for this study was collected using multitemporal Landsat 8 images and plant species occurrence records from the Korea National Arboretum, the National Institute of Biological Resources, and the Korea Forest Service. The remote sensing data was preprocessed using the Google Earth Engine platform.",Method,https://w3id.org/dlprovenance#Method_1,Google Earth Engine platform
5,3,How was raw data collected in terms of methods and tools?,"The raw data for this study was collected using multitemporal Landsat 8 images and plant species occurrence records from the Korea National Arboretum, the National Institute of Biological Resources, and the Korea Forest Service. The remote sensing data was preprocessed using the Google Earth Engine platform.",Method,https://w3id.org/dlprovenance#Method_2,Google Earth Engine platform
5,3,How was raw data collected in terms of methods and tools?,"The raw data for this study was collected using multitemporal Landsat 8 images and plant species occurrence records from the Korea National Arboretum, the National Institute of Biological Resources, and the Korea Forest Service. The remote sensing data was preprocessed using the Google Earth Engine platform.",Tool,https://w3id.org/dlprovenance#Tool_1,Google Earth Engine platform
5,4,"Is the source code openly accessible, and if so, what is the repository link?",The source code is not available for access.,RepositoryLink,https://w3id.org/dlprovenance#RepositoryLink_1,not available for access
5,5,What preprocessing steps are involved before training the deep learning model?,"steps involved before training the deep learning model were co-registering MODIS-derived NDVI and LAI images collected in 2009, and using pixel-wise MLP to estimate species richness and handle missing values due to high cloud cover.",PreprocessingStep,https://w3id.org/dlprovenance#PreprocessingStep_1,co-registering MODIS-derived NDVI and LAI images collected in 2009
