identifier,Publication No.,CQ No.,CQ,CQ LLM Answer Processed,Evaluation,CQ Ground Truth
7_1,7,1,What data formats are used in the deep learning pipeline?,"The provided context does not explicitly mention the data formats used in the deep learning pipeline. However, it is mentioned that square patches were extracted with the labelled pixel at their centre and there is no restriction on the size of these patches. It can be inferred that the data format used for these patches is likely to be image files such as JPEG or PNG. Additionally, the classiﬁcation process uses a 2-layered neural network, which typically takes ﬂat arrays of numerical data as input. Therefore, it can be inferred that the image patches are likely to be converted into ﬂat arrays of numerical data before being fed into the neural network. ",Right,"In this paper, we propose a computer vision and deep
learning based framework for the automatic annotation of
unlabelled coral images. Each training image has 50 pixels
marked with corresponding ground truth labels. State-of-art
deep learning architectures take an input image of ﬁxed size
and hence image or patch ground truth labels are required. To
overcome this bottleneck, square patches were extracted with
the labelled pixel at their centre. There is no restriction on the
size of these patches. Instead of using the whole image for
training, we extracted patches at multiple scales centred around
the given labelled pixels."
7_2,7,2,What are the sources of input data for the deep learning pipeline?,The input data for the deep learning pipeline comes from unlabelled coral mosaics of three sites of the Abrolhos Islands coral reef from two years. ,Right,"With the trained coral classiﬁers,
we analyse the coral reefs of the Abrolhos Islands which form
one of Western Australia’s unique marine areas. We analyse
unlabelled coral mosaics of three sites of this coral reef from
two years."
7_3,7,3,How was raw data collected in terms of methods and tools?,"The raw data was collected using an Autonomous Underwater Vehicle (AUV) equipped with a high- resolution camera. The AUV was used to capture images of the coral reefs in the Abrolhos Islands. The images were then used to generate mosaics and coral maps, which were used to quantify the coral population and analyze the trends in coral population. ",Right,"This Australian benthic data set (Benthoz15) [23] consists
of an expert-annotated set of georeferenced benthic images and
associated sensor data, captured by an autonomous underwater
vehicle (AUV) around Australia."
7_4,7,4,"Is the source code openly accessible, and if so, what is the repository link?",The source code is not openly accessible in the provided context. ,Right,The source code is not openly available or accessible.
7_5,7,5,What preprocessing steps are involved before training the deep learning model?,"The provided context does not explicitly mention the preprocessing steps taken before training the deep learning model. However, it does mention that square patches were extracted with the labelled pixel at their centre, and there is no restriction on the size of these patches. Instead of using the whole image for training, patches at multiple scales centred around the given labelled pixels were extracted. This technique is termed as spatial pyramid pooling (SPP). Therefore, it can be inferred that some form of patch extraction and resizing is involved in the preprocessing step. ",Wrong,"We applied color channel stretch on each image in the
dataset. We calculated the 1% and 99% intensity percentiles
for each color channel. The lower intensity was subtracted
from all the intensities in each respective channel and the
negative values were set to zero. These intensities were then
divided by the upper percentile. The resulting intensities
achieved a better performance compared to the original ones."
7_6,7,6,Are there transformations or augmentations applied to the input data?,"Yes, the authors applied color channel stretch on each image in the dataset. They calculated the 1% and 99% intensity percentiles for each color channel, subtracted the lower intensity from all the intensities in each respective channel, and divided these intensities by the upper percentile. This resulted in better performance compared to the original intensities. ",Right,"We applied color channel stretch on each image in the
dataset. We calculated the 1% and 99% intensity percentiles
for each color channel. The lower intensity was subtracted
from all the intensities in each respective channel and the
negative values were set to zero. These intensities were then
divided by the upper percentile. The resulting intensities
achieved a better performance compared to the original ones."
7_7,7,7,Does the paper discuss data bias or ethical implications?,"No, the paper does not discuss data bias or ethical implications. ",Right,"No, the paper does not discuss data bias or ethical implications."
7_8,7,8,What is the architecture of the deep learning model in the pipeline?,The architecture of the deep learning model in the pipeline is a 2-layered neural network used to classify corals from non-corals. The model uses features learned using a Convolutional Neural Network (CNN) and the Spatial Pyramid Pooling (SPP) technique for patch extraction. The SPP technique makes the resulting features scale invariant. ,Right,"In this paper, we propose a computer vision and deep
learning based framework for the automatic annotation of
unlabelled coral images. This framework is based on a novel
coral classiﬁcation algorithm, which employs the powerful
image representations of CNNs. Instead of using the whole image for
training, we extracted patches at multiple scales centred around
the given labelled pixels. We achieved higher classiﬁcation
accuracy when multi-scale patches were used instead of just
one ﬁxed size. This technique is termed as spatial pyramid
pooling (SPP) [16]. This patch extraction method makes the
resulting features scale invariant. A 2-layered neural network
was then used to classify corals from non-corals."
7_9,7,9,How was the model selected for a specific task?,The model was selected based on the performance of the classifier on the Benthoz15 dataset. The authors achieved a classification accuracy greater than 90% in all of their experiments. The model was then applied to the coral reef of the Abrolhos Islands to investigate the trends in coral population and generate coral maps for this region. The framework detected the decreasing trend in the coral population of this region as well. ,Right,"These
images are used to train a deep network which then classiﬁes
unlabelled images and mosaics. Marine experts are included
in this pipeline to give feedback on the classiﬁcation accuracy.
The best performing classiﬁer is then used to generate coral
maps from the mosaics of the Abrolhos Islands.We achieved a
classiﬁcation accuracy greater than 90% in all of our experiments. The best performance is achieved when the training and
testing sets contain images from the same year."
7_10,7,10,What were the considerations in the model selection process?,The model selection process considered the use of pre-trained CNN image representations extracted from VGGnet to a coral reef classiﬁcation problem. The authors investigated the effectiveness of their trained clas- siﬁer on unlabelled coral mosaics of the Abrolhos Islands. They generated coral maps for this region and quantiﬁed the coral population automatically. The framework detected the decreasing trend in the coral population of this region as well. The proposed framework is an important step towards investigating the long-term effects of environmental change on the effective sustenance of marine ecosystems automatically. ,Right,we applied pre-trained CNN image representations extracted from VGGnet to a coral reef classification problem. We investigated the effectiveness of our trained classifier on unlabelled coral mosaics of the Abrolhos Islands. We analysed the coral reef of the Abrolhos Islands to investigate the trends in coral population. We generated coral maps for this region and quantified the coral population automatically. Our framework detected the decreasing trend in the coral population of this region as well. The proposed framework is an important step towards investigating the long-term effects of environmental change on the effective sustenance of marine ecosystems automatically.
7_11,7,11,How many models are used in the pipeline?,The text does not provide information on the number of models used in the pipeline. ,Right,The text does not provide information on the number of models used in the pipeline.
7_12,7,12,Are the models considered state-of-the-art?,The text does not provide enough information to determine if the models are state-of-the-art or not. ,Partial,"Image representations extracted from deep neural networks, trained on large datasets such as ImageNet [9] and fine tuned on domain specific datasets, have shown state-of-art performance in numerous image classification problems."
7_13,7,13,How is the model initialized?,The model is initialized using pre-trained CNN image representations extracted from VGGnet. These representations are then fine-tuned for the coral reef classiﬁcation problem. ,Right,we applied pre-trained CNN image representations extracted from VGGnet to a coral reef classification problem. The activation vectors of the first fully connected layer of a pre-trained VGGnet [24] are employed as feature representations in our work. The weights of this deep network are fine tuned using the Benthoz15 dataset [23] which consists of expert-annotated and geo-referenced marine images from Australian seas.
7_14,7,14,Are there specific weight configurations used during initialization?,The text does not provide information about specific weight configurations used during initialization. ,Right,The weights of this deep network are fine tuned using the Benthoz15 dataset.
7_15,7,15,Are there optimization algorithms or learning rate schedules used during training?,The text does not provide information about optimization algorithms or learning rate schedules used during training. ,Right,The number of neurons in the hidden layers were optimized for maximum performance. 
7_16,7,16,What is the convergence criteria or stopping condition for the training process?,The provided context does not contain information about the convergence criteria or stopping condition for the training process. ,Right,The text does not provide information about the convergence criteria or stopping condition for the training process.
7_17,7,17,Which software frameworks or libraries are used to build the model?,The paper does not provide information on the specific software frameworks or libraries used to build the model. ,Right,"The text does not provide information on the specific software frameworks or libraries used to
build the model."
7_18,7,18,What hardware infrastructures are used for model training?,The text does not provide information about the hardware infrastructures used for model training. ,Right,The text does not provide information about the hardware infrastructures used for model training.
7_19,7,19,What hyperparameters are used in the model?,The text does not provide information about the hyperparameters used in the model. ,Right,This network consists of two fully connected hidden layers of neurons followed by an output layer with 2 nodes: corals and non-corals.
7_20,7,20,Why were those specific hyperparameters selected?,The text does not provide information on why those specific hyperparameters were selected. It only mentions that the number of neurons in the hidden layers were optimized for maximum performance. ,Right,The text does not provide information on why those specific hyperparameters were selected. 
7_21,7,21,Are the provided hyperparameters fine-tuned?,"The provided text does not explicitly mention whether the hyperparameters are fine-tuned or not. However, it does mention that the weights of the deep network are ﬁne tuned using the Benthoz15 dataset. It is possible that the hyperparameters are also ﬁne tuned during this process, but the text does not provide enough information to confirm this. ",Right,The text does not explicitly mention whether the hyperparameters are fine-tuned or not.
7_22,7,22,What metrics are used to evaluate the model?,The metrics used to evaluate the model are not specified in the given context. The context only provides the results of the experiments in terms of accuracy. ,Partial,Our proposed method automatically quantifies the coral coverage in this region and detects a decreasing trend in coral population which is in line with conclusions by marine ecologists.
