Publication No.,CQ No.,CQ,CQ LLM Answer,Ontology Concept,KG Individual,KG Individual Label
5,1,What data formats are used in the deep learning pipeline?,"The data formats used in the deep learning pipeline include multitemporal remote sensing data, such as MODIS-derived NDVI and LAI images collected in 2009, and plant species richness data from South Korea. The remote sensing data are co-registered and resampled to 30-arcseconds from 15-arcseconds of the original sources. The plant species richness data from South Korea are used to estimate potential plant species richness patterns for North Korea using a state-of-the-art DL approach. ",DataFormat,https://w3id.org/dlprovenance#DataFormat_1,multitemporal remote sensing data
5,1,What data formats are used in the deep learning pipeline?,"The data formats used in the deep learning pipeline include multitemporal remote sensing data, such as MODIS-derived NDVI and LAI images collected in 2009, and plant species richness data from South Korea. The remote sensing data are co-registered and resampled to 30-arcseconds from 15-arcseconds of the original sources. The plant species richness data from South Korea are used to estimate potential plant species richness patterns for North Korea using a state-of-the-art DL approach. ",DataFormat,https://w3id.org/dlprovenance#DataFormat_2,plant species richness data from South Korea
5,2,What are the sources of input data for the deep learning pipeline?,"The sources of input data for the deep learning pipeline are MODIS products, including the normalized difference vegetation index (NDVI) and leaf area index (LAI). ",Source,https://w3id.org/dlprovenance#Source_1,MODIS products
5,2,What are the sources of input data for the deep learning pipeline?,"The sources of input data for the deep learning pipeline are MODIS products, including the normalized difference vegetation index (NDVI) and leaf area index (LAI). ",InputData,https://w3id.org/dlprovenance#InputData_1,Normalized Difference Vegetation Index (NDVI)
5,2,What are the sources of input data for the deep learning pipeline?,"The sources of input data for the deep learning pipeline are MODIS products, including the normalized difference vegetation index (NDVI) and leaf area index (LAI). ",InputData,https://w3id.org/dlprovenance#InputData_2,Leaf Area Index (LAI)
5,3,How was raw data collected in terms of methods and tools?,"The raw data for this study was collected using remote sensing data and plant species occurrence records. The remote sensing data was collected using multitemporal Landsat 8 images, which were preprocessed using the Google Earth Engine platform. The plant species occurrence records were collected from the Korea National Arboretum, the National Institute of Biological Resources, and the Korea Forest Service. These records were used to estimate the potential plant species richness for the Korean Peninsula, including North Korea, which has limited survey data. Additional Information: The study used remote sensing data from Landsat 8, which was collected using the Google Earth Engine platform. The study used remote sensing data from Landsat 8, which was collected using the Google Earth Engine platform. The study used remote sensing",Method,https://w3id.org/dlprovenance#Method_1,remote sensing data
5,3,How was raw data collected in terms of methods and tools?,"The raw data for this study was collected using remote sensing data and plant species occurrence records. The remote sensing data was collected using multitemporal Landsat 8 images, which were preprocessed using the Google Earth Engine platform. The plant species occurrence records were collected from the Korea National Arboretum, the National Institute of Biological Resources, and the Korea Forest Service. These records were used to estimate the potential plant species richness for the Korean Peninsula, including North Korea, which has limited survey data. Additional Information: The study used remote sensing data from Landsat 8, which was collected using the Google Earth Engine platform. The study used remote sensing data from Landsat 8, which was collected using the Google Earth Engine platform. The study used remote sensing",Method,https://w3id.org/dlprovenance#Method_2,not specified
5,3,How was raw data collected in terms of methods and tools?,"The raw data for this study was collected using remote sensing data and plant species occurrence records. The remote sensing data was collected using multitemporal Landsat 8 images, which were preprocessed using the Google Earth Engine platform. The plant species occurrence records were collected from the Korea National Arboretum, the National Institute of Biological Resources, and the Korea Forest Service. These records were used to estimate the potential plant species richness for the Korean Peninsula, including North Korea, which has limited survey data. Additional Information: The study used remote sensing data from Landsat 8, which was collected using the Google Earth Engine platform. The study used remote sensing data from Landsat 8, which was collected using the Google Earth Engine platform. The study used remote sensing",Tool,https://w3id.org/dlprovenance#Tool_1,Google Earth Engine platform
5,4,"Is the source code openly accessible, and if so, what is the repository link?",The source code is not openly accessible in the given article. The authors did not provide a repository link for the source code. ,RepositoryLink,https://w3id.org/dlprovenance#RepositoryLink_1,not openly accessible
5,5,What preprocessing steps are involved before training the deep learning model?,"Before training the deep learning model, the following preprocessing steps were involved: 1. The MODIS-derived NDVI and LAI images collected in 2009 were co-registered. 2. Pixel-wise MLP was used to estimate species richness. 3. The missing values at different pixel locations and times due to high cloud cover were handled by using multilayer perception, which comprises more than one perceptron, which consists of an input layer to receive the signal, an output layer that makes a decision, and one in between those two. Reference(s): 65. Chollet, F. Deep Learning with R; Manning Publications: Shelter Island, NY, USA, 2018. 66. Srivastava, N. ; Hinton, G. ; Krizhevsky, A. ; Sutskever, I. ; Salakhutdinov, R. Dropout: A simple way to prevent neural networks from overﬁtting. J. Mach. Learn. Res. 2014, 15, 1929–1958. 67. Bhatnagar, S. ; Gill, L. ; Ghosh, B. Drone image segmentation using machine and deep learning for mapping raised bog vegetation communities. Remote Sens. 2020, 12, 2602. [CrossRef] 68. Kim, Y. ; Kim, H. -C. ; Han, D. ; Lee, S. ; Im, J. Prediction of monthly Arctic sea ice concentrations using satellite and reanalysis data based on convolutional neural networks. Cryosphere 2020, 14, 1083–1104. [CrossRef] 69. Korotcov, A. ; Tkachenko, V. ; Russo, D. P. ; Ekins, S. Comparison of deep learning with multiple machine learning methods and metrics using diverse drug discovery data sets. Mol. Pharm. 2017, 14, 4462–4475. [CrossRef] Joharestani, M. Z. ; Cao, C. ; Ni, X. ; Bashir, B. ; Talebiesfandarani, S. PM2. 5 prediction based on random forest, XGBoost, and deep learning using multisource remote sensing data. Atmosphere 2019, 10, 373. [CrossRef] Fernández-Delgado, M. ; Cernadas, E. ; Barro, S. ; Amorim, D. Do we need hundreds of classiﬁers to solve real world classiﬁ-cation problems? J. 2014, 15, 3133–3181. 70. 72. Korea Forest Service. The 6th National Forest Inventory and Monitoring; Korea Forest Service: Daejeon, Korea, 2016. 73. Choe, H. ; Thorne, J. H. ; Huber, P. R. ; Lee, D. ; Quinn, J. F. Assessing shortfalls and complementary conservation areas for national plant biodiversity in South Korea. PLoS ONE 2018, 13, e0190754. [CrossRef] 74. Malhi, Y. ; Franklin, J. ; Seddon, N. ; Solan, M. ; Turner, M. G. ; Field, C. B. ; Knowlton, N. Climate change and ecosystems: Threats, opportunities and solutions. Philos. Trans. Soc. B Biol. Sci. 2020, 375, 20190104. [CrossRef] Before training the deep learning model, the following preprocessing steps were involved: 1. Do we need hundreds of classiﬁers to solve real world classiﬁ- cation problems? J. [CrossRef] 10 of 20 Remote Sens. 2021, 13, 2490 Remote Sens. 2021, 13, x FOR PEER REVIEW 11 of 20 ",PreprocessingStep,https://w3id.org/dlprovenance#PreprocessingStep_1,co-registered and resampled to 30-arcseconds
