Publication No.,CQ No.,CQ,CQ LLM Answer,Ontology Concept,KG Individual,KG Individual Label
8,1,What data formats are used in the deep learning pipeline?,"In the deep learning pipeline, the data formats used are images and bounding boxes. The images are the input to the model and the bounding boxes are the annotations used for training and evaluating the model. The bounding boxes are used to localise the objects in the image and classify them. The bounding boxes are represented as a set of coordinates in the image. Confidence: 90%",DataFormat,https://w3id.org/dlprovenance#DataFormat_1,images
8,1,What data formats are used in the deep learning pipeline?,"In the deep learning pipeline, the data formats used are images and bounding boxes. The images are the input to the model and the bounding boxes are the annotations used for training and evaluating the model. The bounding boxes are used to localise the objects in the image and classify them. The bounding boxes are represented as a set of coordinates in the image. Confidence: 90%",DataFormat,https://w3id.org/dlprovenance#DataFormat_2,bounding boxes
8,2,What are the sources of input data for the deep learning pipeline?,The sources of input data for the deep learning pipeline are the herbarium scans. ,Source,https://w3id.org/dlprovenance#Source_1,herbarium scans
8,2,What are the sources of input data for the deep learning pipeline?,The sources of input data for the deep learning pipeline are the herbarium scans. ,InputData,https://w3id.org/dlprovenance#InputData_1,herbarium scans
8,2,What are the sources of input data for the deep learning pipeline?,The sources of input data for the deep learning pipeline are the herbarium scans. ,InputData,https://w3id.org/dlprovenance#InputData_2,herbarium scans
8,3,How was raw data collected in terms of methods and tools?,"The raw data was collected by manually localizing and labeling plant organs from herbarium specimens. This process encountered difficulties such as distinguishing between buds, flowers, and fruits, separating different plant organs in some taxa, and differentiating between roots and stolons or other stem structures. In all of these cases, labeled boxes were placed in a way to best characterize the respective plant organ, sometimes including parts of other organs and, at other times, leaving out difficult parts if sufficient clearly assignable material were available. ",Method,https://w3id.org/dlprovenance#Method_1,manually localising and labelling plant organs from herbarium specimens
8,3,How was raw data collected in terms of methods and tools?,"The raw data was collected by manually localizing and labeling plant organs from herbarium specimens. This process encountered difficulties such as distinguishing between buds, flowers, and fruits, separating different plant organs in some taxa, and differentiating between roots and stolons or other stem structures. In all of these cases, labeled boxes were placed in a way to best characterize the respective plant organ, sometimes including parts of other organs and, at other times, leaving out difficult parts if sufficient clearly assignable material were available. ",Method,https://w3id.org/dlprovenance#Method_2,not specified
8,3,How was raw data collected in terms of methods and tools?,"The raw data was collected by manually localizing and labeling plant organs from herbarium specimens. This process encountered difficulties such as distinguishing between buds, flowers, and fruits, separating different plant organs in some taxa, and differentiating between roots and stolons or other stem structures. In all of these cases, labeled boxes were placed in a way to best characterize the respective plant organ, sometimes including parts of other organs and, at other times, leaving out difficult parts if sufficient clearly assignable material were available. ",Tool,https://w3id.org/dlprovenance#Tool_1,LabelImg
8,4,"Is the source code openly accessible, and if so, what is the repository link?","Yes, the source code is openly accessible. You can find it in the GitHub repository at <https://github. com/2younis/plant-organ-detection>. ",RepositoryLink,https://w3id.org/dlprovenance#RepositoryLink_1,<https://github.com/2younis/plant-organ-detection>
8,5,What preprocessing steps are involved before training the deep learning model?,"Before training the deep learning model, the herbarium scans were rescaled from their original average size of ca. 5100 by 3500 pixels to 1200 by 800 pixels, in order to preserve the aspect ratio of the scans and to speed up the learning by reducing the number of pixels. The images were selected manually from a large collection of scans, having minimum visual overlap between organs, while covering a broad range of taxa and morphology. All these images were annotated for six different types of organs using LabelImg, a Python graphical toolkit for image annotation using bounding boxes. The average rate for manual image annotation was 8 to 15 herbarium sheets per hour, depending on the difficulty and number of bounding boxes to be annotated. The total number of annotated bounding boxes for all 653 images was 19654, with an average of 30. 1 bounding boxes per image. From these 653 annotated images, 155 of them were either annotated or verified by an expert, making a validated subset hence used for testing and the 498 were used for training. ",PreprocessingStep,https://w3id.org/dlprovenance#PreprocessingStep_1,rescaling herbarium scans from their original average size of ca. 5100 by 3500 pixels to 1200 by 800 pixels
8,5,What preprocessing steps are involved before training the deep learning model?,"Before training the deep learning model, the herbarium scans were rescaled from their original average size of ca. 5100 by 3500 pixels to 1200 by 800 pixels, in order to preserve the aspect ratio of the scans and to speed up the learning by reducing the number of pixels. The images were selected manually from a large collection of scans, having minimum visual overlap between organs, while covering a broad range of taxa and morphology. All these images were annotated for six different types of organs using LabelImg, a Python graphical toolkit for image annotation using bounding boxes. The average rate for manual image annotation was 8 to 15 herbarium sheets per hour, depending on the difficulty and number of bounding boxes to be annotated. The total number of annotated bounding boxes for all 653 images was 19654, with an average of 30. 1 bounding boxes per image. From these 653 annotated images, 155 of them were either annotated or verified by an expert, making a validated subset hence used for testing and the 498 were used for training. ",PreprocessingStep,https://w3id.org/dlprovenance#PreprocessingStep_2,"selecting herbarium scans manually from a large collection of scans, having minimum visual overlap between organs, while covering a broad range of taxa and morphology"
8,5,What preprocessing steps are involved before training the deep learning model?,"Before training the deep learning model, the herbarium scans were rescaled from their original average size of ca. 5100 by 3500 pixels to 1200 by 800 pixels, in order to preserve the aspect ratio of the scans and to speed up the learning by reducing the number of pixels. The images were selected manually from a large collection of scans, having minimum visual overlap between organs, while covering a broad range of taxa and morphology. All these images were annotated for six different types of organs using LabelImg, a Python graphical toolkit for image annotation using bounding boxes. The average rate for manual image annotation was 8 to 15 herbarium sheets per hour, depending on the difficulty and number of bounding boxes to be annotated. The total number of annotated bounding boxes for all 653 images was 19654, with an average of 30. 1 bounding boxes per image. From these 653 annotated images, 155 of them were either annotated or verified by an expert, making a validated subset hence used for testing and the 498 were used for training. ",PreprocessingStep,https://w3id.org/dlprovenance#PreprocessingStep_3,"annotating all these images for six different types of organs using LabelImg, a Python graphical toolkit for image annotation using bounding boxes"
8,5,What preprocessing steps are involved before training the deep learning model?,"Before training the deep learning model, the herbarium scans were rescaled from their original average size of ca. 5100 by 3500 pixels to 1200 by 800 pixels, in order to preserve the aspect ratio of the scans and to speed up the learning by reducing the number of pixels. The images were selected manually from a large collection of scans, having minimum visual overlap between organs, while covering a broad range of taxa and morphology. All these images were annotated for six different types of organs using LabelImg, a Python graphical toolkit for image annotation using bounding boxes. The average rate for manual image annotation was 8 to 15 herbarium sheets per hour, depending on the difficulty and number of bounding boxes to be annotated. The total number of annotated bounding boxes for all 653 images was 19654, with an average of 30. 1 bounding boxes per image. From these 653 annotated images, 155 of them were either annotated or verified by an expert, making a validated subset hence used for testing and the 498 were used for training. ",PreprocessingStep,https://w3id.org/dlprovenance#PreprocessingStep_4,"annotating or verifying 155 of them by an expert, making a validated subset hence used for testing and the rest for training"
8,6,Are there transformations or augmentations applied to the input data?,The text does not mention any transformations or augmentations applied to the input data. ,TransformationAugmentation,https://w3id.org/dlprovenance#TransformationAugmentation_1,none
8,7,Does the paper discuss data bias or ethical implications?,"No, the paper does not discuss data bias or ethical implications. ",Bias,https://w3id.org/dlprovenance#Bias_1,none
8,7,Does the paper discuss data bias or ethical implications?,"No, the paper does not discuss data bias or ethical implications. ",EthicalImplication,https://w3id.org/dlprovenance#EthicalImplication_1,not specified
8,8,What is the architecture of the deep learning model in the pipeline?,"The deep learning model in the pipeline is a Convolutional Neural Network (CNN) architecture called Faster R-CNN. It is a two-stage, region-based CNN detector that consists of three modules: 1) a deep CNN image feature extraction network based on the ResNet-50 architecture, 2) a Region Proposal Network (RPN) used for detection of a predefined number of Regions of Interests (RoIs) where the object(s) of interest could reside within the image, and 3) Fast R-CNN, which computes a classification score along with class-specific bounding box regression for each of these regions. The RPN creates thousands of prior or anchor boxes to estimate the location of objects in the image, and Non-Maximum Suppression (NMS) is used to reduce the number of proposals. ",Architecture,https://w3id.org/dlprovenance#Architecture_1,Faster R-CNN
8,8,What is the architecture of the deep learning model in the pipeline?,"The deep learning model in the pipeline is a Convolutional Neural Network (CNN) architecture called Faster R-CNN. It is a two-stage, region-based CNN detector that consists of three modules: 1) a deep CNN image feature extraction network based on the ResNet-50 architecture, 2) a Region Proposal Network (RPN) used for detection of a predefined number of Regions of Interests (RoIs) where the object(s) of interest could reside within the image, and 3) Fast R-CNN, which computes a classification score along with class-specific bounding box regression for each of these regions. The RPN creates thousands of prior or anchor boxes to estimate the location of objects in the image, and Non-Maximum Suppression (NMS) is used to reduce the number of proposals. ",Model,https://w3id.org/dlprovenance#Model_1,Faster R-CNN
8,9,How was the model selected for a specific task?,The model was selected based on its performance on the test subset of the MNHN Paris Herbarium dataset. The model with the highest average precision was chosen for the task of organ detection on the Herbarium Senckenbergianum dataset. ,ModelSelectionProcess,https://w3id.org/dlprovenance#ModelSelectionProcess_1,selecting the model based on its performance on the test subset of the MNHN Paris Herbarium dataset
8,9,How was the model selected for a specific task?,The model was selected based on its performance on the test subset of the MNHN Paris Herbarium dataset. The model with the highest average precision was chosen for the task of organ detection on the Herbarium Senckenbergianum dataset. ,Model,https://w3id.org/dlprovenance#Model_1,Faster R-CNN
8,10,What were the considerations in the model selection process?,"The model selection process was not explicitly described in the text. However, the authors mentioned that they used a deep learning model for organ detection. They also mentioned that they used a subset of the annotated scans for training of the model and the rest for testing. The model was then used to predict the type and location of plant organs on the test subset. The authors did not provide any information about the model selection process or the comparison with other models. ",Consideration,https://w3id.org/dlprovenance#Consideration_1,performance on the test subset of the MNHN Paris Herbarium dataset
8,10,What were the considerations in the model selection process?,"The model selection process was not explicitly described in the text. However, the authors mentioned that they used a deep learning model for organ detection. They also mentioned that they used a subset of the annotated scans for training of the model and the rest for testing. The model was then used to predict the type and location of plant organs on the test subset. The authors did not provide any information about the model selection process or the comparison with other models. ",Consideration,https://w3id.org/dlprovenance#Consideration_2,ease of use
8,10,What were the considerations in the model selection process?,"The model selection process was not explicitly described in the text. However, the authors mentioned that they used a deep learning model for organ detection. They also mentioned that they used a subset of the annotated scans for training of the model and the rest for testing. The model was then used to predict the type and location of plant organs on the test subset. The authors did not provide any information about the model selection process or the comparison with other models. ",Consideration,https://w3id.org/dlprovenance#Consideration_3,availability of pre-trained models
8,11,How many models are used in the pipeline?,"The pipeline uses a single model for organ detection. Explanation: The pipeline uses a single model for organ detection. This is stated in the text, ""The organ detection model was successfully able to detect almost all plant organs in the majority of scans, as shown by the images in Fig. 6. "" Confidence: 90% 3 Younis S et al ",NumberOfModels,https://w3id.org/dlprovenance#NumberOfModels_1,one
8,12,Are the models considered state-of-the-art?,"No, the models are not considered state-of-the-art. The models are based on the Faster R-CNN architecture, which was first published in 2015. The authors of the study did not claim that their models are state-of-the-art. The models used in this study are not considered state-of-the-art. ",StateOfTheArt,https://w3id.org/dlprovenance#StateOfTheArt_1,no
8,12,Are the models considered state-of-the-art?,"No, the models are not considered state-of-the-art. The models are based on the Faster R-CNN architecture, which was first published in 2015. The authors of the study did not claim that their models are state-of-the-art. The models used in this study are not considered state-of-the-art. ",Model,https://w3id.org/dlprovenance#Model_1,Faster R-CNN
8,13,How is the model initialized?,"The model is initialized using a pre-trained model on the COCO dataset. The COCO dataset is a large-scale object detection, segmentation, and captioning dataset. It contains 330,000 images and 1. 5 million object instances. The model is then fine-tuned on the annotated herbarium dataset. ",Model,https://w3id.org/dlprovenance#Model_1,Faster R-CNN
8,14,Are there specific weight configurations used during initialization?,The provided context does not mention any specific weight configurations used during initialization. ,WeightConfiguration,https://w3id.org/dlprovenance#WeightConfiguration_1,default values provided by the Detectron2 library
8,15,Are there optimization algorithms or learning rate schedules used during training?,The text does not provide information about optimization algorithms or learning rate schedules used during training. ,OptimizationAlgorithm,https://w3id.org/dlprovenance#OptimizationAlgorithm_1,Stochastic Gradient Descent
8,15,Are there optimization algorithms or learning rate schedules used during training?,The text does not provide information about optimization algorithms or learning rate schedules used during training. ,LearningRateSchedule,https://w3id.org/dlprovenance#LearningRateSchedule_1,not specified
8,16,What is the convergence criteria or stopping condition for the training process?,"The stopping condition for the training process is not explicitly stated in the provided context. However, it is mentioned that the model was trained for 9000 iterations on a training subset of 498 images and for 18000 iterations on all 653 annotated images. Therefore, the stopping condition could be a fixed number of iterations or epochs. ",ConvergenceCriteria,https://w3id.org/dlprovenance#ConvergenceCriteria_1,not specified
8,17,Which software frameworks or libraries are used to build the model?,"The Faster R-CNN model was built using TensorFlow, a popular open-source machine learning framework. The model was trained using the TensorFlow Object Detection API, which is a set of tools built on top of TensorFlow that simplifies the process of training object detection models. ",SoftwareFrameworkLibrary,https://w3id.org/dlprovenance#SoftwareFrameworkLibrary_1,TensorFlow
8,18,What hardware infrastructures are used for model training?,The model was trained on a single GPU (TITAN Xp) and on three GPUs for the final training. ,HardwareInfrastructure,https://w3id.org/dlprovenance#HardwareInfrastructure_1,single GPU (TITAN Xp) and three GPUs
8,19,What hyperparameters are used in the model?,The hyperparameters used in the model are: * Stochastic Gradient Descent optimiser with a learning rate of 0. 0025 and momentum of 0. 9. * Anchor generator in the Region Proposal Network with six anchor scales and three aspect ratios. * Thresholds for non-maximum suppression (NMS) of 0. 6 for training and 0. 25 for testing. * Minibatch size of four images per GPU. ,Hyperparameter,https://w3id.org/dlprovenance#Hyperparameter_1,pre-trained model on the COCO dataset
