Publication No.,CQ No.,CQ,CQ LLM Answer,Ontology Concept,KG Individual,KG Individual Label
8,1,What data formats are used in the deep learning pipeline?,The data formats used in the deep learning pipeline are images and bounding boxes. The images are the input to the model and the bounding boxes are the annotations used for training and evaluating the model.,DataFormat,https://w3id.org/dlprovenance#DataFormat_1,images
8,1,What data formats are used in the deep learning pipeline?,The data formats used in the deep learning pipeline are images and bounding boxes. The images are the input to the model and the bounding boxes are the annotations used for training and evaluating the model.,DataFormat,https://w3id.org/dlprovenance#DataFormat_2,bounding boxes
8,2,What are the sources of input data for the deep learning pipeline?,The sources of input data for the deep learning pipeline are the herbarium scans.,Source,https://w3id.org/dlprovenance#Source_1,herbarium scans
8,3,How was raw data collected in terms of methods and tools?,"cted by manually localizing and labeling plant organs from herbarium specimens. The process of localizing and labeling encountered difficulties such as distinguishing between buds, flowers, and fruits, separating different plant organs in some taxa, and differentiating between roots and stolons or other stem structures.",Method,https://w3id.org/dlprovenance#Method_1,manually localizing and labeling plant organs from herbarium specimens
8,3,How was raw data collected in terms of methods and tools?,"cted by manually localizing and labeling plant organs from herbarium specimens. The process of localizing and labeling encountered difficulties such as distinguishing between buds, flowers, and fruits, separating different plant organs in some taxa, and differentiating between roots and stolons or other stem structures.",Method,https://w3id.org/dlprovenance#Method_2,manually localizing and labeling plant organs from herbarium specimens using LabelImg
8,3,How was raw data collected in terms of methods and tools?,"cted by manually localizing and labeling plant organs from herbarium specimens. The process of localizing and labeling encountered difficulties such as distinguishing between buds, flowers, and fruits, separating different plant organs in some taxa, and differentiating between roots and stolons or other stem structures.",Method,https://w3id.org/dlprovenance#Method_3,manually localizing and labeling plant organs from herbarium specimens using LabelImg
8,3,How was raw data collected in terms of methods and tools?,"cted by manually localizing and labeling plant organs from herbarium specimens. The process of localizing and labeling encountered difficulties such as distinguishing between buds, flowers, and fruits, separating different plant organs in some taxa, and differentiating between roots and stolons or other stem structures.",Method,https://w3id.org/dlprovenance#Method_4,manually localizing and labeling plant organs from herbarium specimens using LabelImg
8,3,How was raw data collected in terms of methods and tools?,"cted by manually localizing and labeling plant organs from herbarium specimens. The process of localizing and labeling encountered difficulties such as distinguishing between buds, flowers, and fruits, separating different plant organs in some taxa, and differentiating between roots and stolons or other stem structures.",Method,https://w3id.org/dlprovenance#Method_5,manually localizing and labeling plant organs from herbarium specimens using LabelImg
8,3,How was raw data collected in terms of methods and tools?,"cted by manually localizing and labeling plant organs from herbarium specimens. The process of localizing and labeling encountered difficulties such as distinguishing between buds, flowers, and fruits, separating different plant organs in some taxa, and differentiating between roots and stolons or other stem structures.",Method,https://w3id.org/dlprovenance#Method_6,manually localizing and labeling plant organs from herbarium specimens using LabelImg
8,3,How was raw data collected in terms of methods and tools?,"cted by manually localizing and labeling plant organs from herbarium specimens. The process of localizing and labeling encountered difficulties such as distinguishing between buds, flowers, and fruits, separating different plant organs in some taxa, and differentiating between roots and stolons or other stem structures.",Method,https://w3id.org/dlprovenance#Method_7,manually localizing and labeling plant organs from herbarium specimens using LabelImg
