Publication No.,CQ No.,CQ,CQ LLM Answer,Ontology Concept,KG Individual,KG Individual Label
7,1,What data formats are used in the deep learning pipeline?,"The data formats used in the deep learning pipeline are likely to be image files such as JPEG or PNG, which are converted into flat arrays of numerical data before being fed into the neural network.",DataFormat,https://w3id.org/dlprovenance#DataFormat_1,image files such as JPEG or PNG
7,1,What data formats are used in the deep learning pipeline?,"The data formats used in the deep learning pipeline are likely to be image files such as JPEG or PNG, which are converted into flat arrays of numerical data before being fed into the neural network.",DataFormat,https://w3id.org/dlprovenance#DataFormat_2,flat arrays of numerical data
7,2,What are the sources of input data for the deep learning pipeline?,The input data for the deep learning pipeline comes from unlabelled coral mosaics of three sites of the Abrolhos Islands coral reef from two years.,Source,https://w3id.org/dlprovenance#Source_1,unlabelled coral mosaics of three sites of the Abrolhos Islands coral reef from two years
7,2,What are the sources of input data for the deep learning pipeline?,The input data for the deep learning pipeline comes from unlabelled coral mosaics of three sites of the Abrolhos Islands coral reef from two years.,InputData,https://w3id.org/dlprovenance#InputData_1,coral mosaics of the Abrolhos Islands
7,2,What are the sources of input data for the deep learning pipeline?,The input data for the deep learning pipeline comes from unlabelled coral mosaics of three sites of the Abrolhos Islands coral reef from two years.,InputData,https://w3id.org/dlprovenance#InputData_2,coral reefs of the Abrolhos Islands
7,2,What are the sources of input data for the deep learning pipeline?,The input data for the deep learning pipeline comes from unlabelled coral mosaics of three sites of the Abrolhos Islands coral reef from two years.,InputData,https://w3id.org/dlprovenance#InputData_3,coral population of the Abrolhos Islands
7,3,How was raw data collected in terms of methods and tools?,"The raw data was collected using an Autonomous Underwater Vehicle (AUV) equipped with a high-resolution camera, which captured images of the coral reefs in the Abrolhos Islands. These images were then used to generate mosaics and coral maps, which were used to quantify the coral population and analyze the trends in coral population.",Method,https://w3id.org/dlprovenance#Method_1,Autonomous Underwater Vehicle (AUV)
7,3,How was raw data collected in terms of methods and tools?,"The raw data was collected using an Autonomous Underwater Vehicle (AUV) equipped with a high-resolution camera, which captured images of the coral reefs in the Abrolhos Islands. These images were then used to generate mosaics and coral maps, which were used to quantify the coral population and analyze the trends in coral population.",Method,https://w3id.org/dlprovenance#Method_2,not specified
7,3,How was raw data collected in terms of methods and tools?,"The raw data was collected using an Autonomous Underwater Vehicle (AUV) equipped with a high-resolution camera, which captured images of the coral reefs in the Abrolhos Islands. These images were then used to generate mosaics and coral maps, which were used to quantify the coral population and analyze the trends in coral population.",Tool,https://w3id.org/dlprovenance#Tool_1,high-resolution camera
7,4,"Is the source code openly accessible, and if so, what is the repository link?",The source code is not openly accessible.,RepositoryLink,https://w3id.org/dlprovenance#RepositoryLink_1,not openly accessible
7,5,What preprocessing steps are involved before training the deep learning model?,The preprocessing steps involved before training the deep learning model are patch extraction and resizing.,PreprocessingStep,https://w3id.org/dlprovenance#PreprocessingStep_1,patch extraction
7,5,What preprocessing steps are involved before training the deep learning model?,The preprocessing steps involved before training the deep learning model are patch extraction and resizing.,PreprocessingStep,https://w3id.org/dlprovenance#PreprocessingStep_2,resizing
7,6,Are there transformations or augmentations applied to the input data?,The authors applied color channel stretch on each image in the dataset. This resulted in better performance compared to the original intensities.,TransformationAugmentation,https://w3id.org/dlprovenance#TransformationAugmentation_1,color channel stretch
7,7,Does the paper discuss data bias or ethical implications?,The paper does not discuss data bias or ethical implications.,Bias,https://w3id.org/dlprovenance#Bias_1,not discussed
7,7,Does the paper discuss data bias or ethical implications?,The paper does not discuss data bias or ethical implications.,EthicalImplication,https://w3id.org/dlprovenance#EthicalImplication_1,not specified
7,8,What is the architecture of the deep learning model in the pipeline?,"The architecture of the deep learning model in the pipeline is a 2-layered neural network used to classify corals from non-corals, using features learned using a Convolutional Neural Network (CNN) and the Spatial Pyramid Pooling (SPP) technique for patch extraction.",Architecture,https://w3id.org/dlprovenance#Architecture_1,2-layered neural network
7,8,What is the architecture of the deep learning model in the pipeline?,"The architecture of the deep learning model in the pipeline is a 2-layered neural network used to classify corals from non-corals, using features learned using a Convolutional Neural Network (CNN) and the Spatial Pyramid Pooling (SPP) technique for patch extraction.",Model,https://w3id.org/dlprovenance#Model_1,coral classifier
7,9,How was the model selected for a specific task?,"The model was selected based on the performance of the classifier on the Benthoz15 dataset, achieving a classification accuracy greater than 90% in all experiments. It was then applied to the coral reef of the Abrolhos Islands to investigate the trends in coral population and generate coral maps for this region, detecting the decreasing trend in the coral population of this region as well.",ModelSelectionProcess,https://w3id.org/dlprovenance#ModelSelectionProcess_1,performance of the classifier on the Benthoz15 dataset
7,9,How was the model selected for a specific task?,"The model was selected based on the performance of the classifier on the Benthoz15 dataset, achieving a classification accuracy greater than 90% in all experiments. It was then applied to the coral reef of the Abrolhos Islands to investigate the trends in coral population and generate coral maps for this region, detecting the decreasing trend in the coral population of this region as well.",Model,https://w3id.org/dlprovenance#Model_1,coral classifier
7,10,What were the considerations in the model selection process?,"The model selection process considered the use of pre-trained CNN image representations extracted from VGGnet to classify coral reefs. The authors tested the trained classifier on unlabelled coral mosaics of the Abrolhos Islands and generated coral maps for this region, which detected a decreasing trend in the coral population.",Consideration,https://w3id.org/dlprovenance#Consideration_1,pre-trained CNN image representations extracted from VGGnet
7,10,What were the considerations in the model selection process?,"The model selection process considered the use of pre-trained CNN image representations extracted from VGGnet to classify coral reefs. The authors tested the trained classifier on unlabelled coral mosaics of the Abrolhos Islands and generated coral maps for this region, which detected a decreasing trend in the coral population.",Consideration,https://w3id.org/dlprovenance#Consideration_2,trained classifier on unlabelled coral mosaics of the Abrolhos Islands
7,11,How many models are used in the pipeline?,The text does not provide information on the number of models used in the pipeline.,NumberOfModels,https://w3id.org/dlprovenance#NumberOfModels_1,one
7,12,Are the models considered state-of-the-art?,The text does not provide enough information to determine if the models are state-of-the-art or not.,StateOfTheArt,https://w3id.org/dlprovenance#StateOfTheArt_1,not specified
7,12,Are the models considered state-of-the-art?,The text does not provide enough information to determine if the models are state-of-the-art or not.,Model,https://w3id.org/dlprovenance#Model_1,coral classifier
7,13,How is the model initialized?,The model is initialized using pre-trained CNN image representations extracted from VGGnet and fine-tuned for the coral reef classiﬁcation problem.,Model,https://w3id.org/dlprovenance#Model_1,coral classifier
7,14,Are there specific weight configurations used during initialization?,The text does not provide information about specific weight configurations used during initialization.,WeightConfiguration,https://w3id.org/dlprovenance#WeightConfiguration_1,not specified
7,15,Are there optimization algorithms or learning rate schedules used during training?,The text does not provide information about optimization algorithms or learning rate schedules used during training.,OptimizationAlgorithm,https://w3id.org/dlprovenance#OptimizationAlgorithm_1,not specified
7,15,Are there optimization algorithms or learning rate schedules used during training?,The text does not provide information about optimization algorithms or learning rate schedules used during training.,LearningRateSchedule,https://w3id.org/dlprovenance#LearningRateSchedule_1,not specified
7,16,What is the convergence criteria or stopping condition for the training process?,The provided context does not contain information about the convergence criteria or stopping condition for the training process.,ConvergenceCriteria,https://w3id.org/dlprovenance#ConvergenceCriteria_1,not specified
7,17,Which software frameworks or libraries are used to build the model?,The paper does not provide information on the specific software frameworks or libraries used to build the model.,SoftwareFrameworkLibrary,https://w3id.org/dlprovenance#SoftwareFrameworkLibrary_1,not specified
7,18,What hardware infrastructures are used for model training?,The text does not provide information about the hardware infrastructures used for model training.,HardwareInfrastructure,https://w3id.org/dlprovenance#HardwareInfrastructure_1,not specified
7,19,What hyperparameters are used in the model?,The text does not provide information about the hyperparameters used in the model.,Hyperparameter,https://w3id.org/dlprovenance#Hyperparameter_1,not specified
7,19,What hyperparameters are used in the model?,The text does not provide information about the hyperparameters used in the model.,Hyperparameter,https://w3id.org/dlprovenance#Hyperparameter_2,pre-trained CNN image representations extracted from VGGnet
7,19,What hyperparameters are used in the model?,The text does not provide information about the hyperparameters used in the model.,Hyperparameter,https://w3id.org/dlprovenance#Hyperparameter_3,pre-trained CNN image representations extracted from VGGnet
7,20,Why were those specific hyperparameters selected?,The text does not provide information on why those specific hyperparameters were selected.,Hyperparameter,https://w3id.org/dlprovenance#Hyperparameter_1,not specified
7,20,Why were those specific hyperparameters selected?,The text does not provide information on why those specific hyperparameters were selected.,Hyperparameter,https://w3id.org/dlprovenance#Hyperparameter_2,pre-trained CNN image representations extracted from VGGnet
7,20,Why were those specific hyperparameters selected?,The text does not provide information on why those specific hyperparameters were selected.,Hyperparameter,https://w3id.org/dlprovenance#Hyperparameter_3,pre-trained CNN image representations extracted from VGGnet
