Publication No.,CQ No.,CQ,CQ LLM Answer,Ontology Concept,KG Individual,KG Individual Label
3,1,What data formats are used in the deep learning pipeline?,"The deep learning pipeline uses various data formats such as raw data, preprocessed data, training data, validation data, test data, model data, and prediction data. Raw data is the initial data format, which can be in various forms such as images, audio files, text files, etc. Model data is the data format used to store the trained deep learning model.",DataFormat,https://w3id.org/dlprovenance#DataFormat_1,raw data
3,1,What data formats are used in the deep learning pipeline?,"The deep learning pipeline uses various data formats such as raw data, preprocessed data, training data, validation data, test data, model data, and prediction data. Raw data is the initial data format, which can be in various forms such as images, audio files, text files, etc. Model data is the data format used to store the trained deep learning model.",DataFormat,https://w3id.org/dlprovenance#DataFormat_2,preprocessed data
3,1,What data formats are used in the deep learning pipeline?,"The deep learning pipeline uses various data formats such as raw data, preprocessed data, training data, validation data, test data, model data, and prediction data. Raw data is the initial data format, which can be in various forms such as images, audio files, text files, etc. Model data is the data format used to store the trained deep learning model.",DataFormat,https://w3id.org/dlprovenance#DataFormat_3,training data
3,1,What data formats are used in the deep learning pipeline?,"The deep learning pipeline uses various data formats such as raw data, preprocessed data, training data, validation data, test data, model data, and prediction data. Raw data is the initial data format, which can be in various forms such as images, audio files, text files, etc. Model data is the data format used to store the trained deep learning model.",DataFormat,https://w3id.org/dlprovenance#DataFormat_4,validation data
3,1,What data formats are used in the deep learning pipeline?,"The deep learning pipeline uses various data formats such as raw data, preprocessed data, training data, validation data, test data, model data, and prediction data. Raw data is the initial data format, which can be in various forms such as images, audio files, text files, etc. Model data is the data format used to store the trained deep learning model.",DataFormat,https://w3id.org/dlprovenance#DataFormat_5,test data
3,1,What data formats are used in the deep learning pipeline?,"The deep learning pipeline uses various data formats such as raw data, preprocessed data, training data, validation data, test data, model data, and prediction data. Raw data is the initial data format, which can be in various forms such as images, audio files, text files, etc. Model data is the data format used to store the trained deep learning model.",DataFormat,https://w3id.org/dlprovenance#DataFormat_6,model data
3,1,What data formats are used in the deep learning pipeline?,"The deep learning pipeline uses various data formats such as raw data, preprocessed data, training data, validation data, test data, model data, and prediction data. Raw data is the initial data format, which can be in various forms such as images, audio files, text files, etc. Model data is the data format used to store the trained deep learning model.",DataFormat,https://w3id.org/dlprovenance#DataFormat_7,prediction data
3,2,What are the sources of input data for the deep learning pipeline?,"The input data for the deep learning pipeline comes from the Macaulay Library, which is a library of natural sounds. The data includes 20 recognized species of Platymantis, with 20 recordings per species used to generate 400 spectrograms for the identification challenge.",Source,https://w3id.org/dlprovenance#Source_1,Macaulay Library
3,2,What are the sources of input data for the deep learning pipeline?,"The input data for the deep learning pipeline comes from the Macaulay Library, which is a library of natural sounds. The data includes 20 recognized species of Platymantis, with 20 recordings per species used to generate 400 spectrograms for the identification challenge.",InputData,https://w3id.org/dlprovenance#InputData_1,20 recognized species of Platymantis
3,2,What are the sources of input data for the deep learning pipeline?,"The input data for the deep learning pipeline comes from the Macaulay Library, which is a library of natural sounds. The data includes 20 recognized species of Platymantis, with 20 recordings per species used to generate 400 spectrograms for the identification challenge.",InputData,https://w3id.org/dlprovenance#InputData_2,400 spectrograms for the identification challenge
